160,120,57,89
2021-08-13 08:21:17.440134,0
2021-08-13 08:21:18.396815,0
2021-08-13 08:21:18.640623,0
2021-08-13 08:21:18.887435,0
2021-08-13 08:21:19.108900,0
2021-08-13 08:21:19.392097,0
2021-08-13 08:21:19.677312,0
2021-08-13 08:21:19.919529,0
2021-08-13 08:21:20.428496,0
2021-08-13 08:21:20.687429,0
2021-08-13 08:21:20.997413,0
2021-08-13 08:21:21.243131,0
2021-08-13 08:21:21.478853,0
2021-08-13 08:21:21.737322,0
2021-08-13 08:21:22.017562,0
2021-08-13 08:21:23.112132,0
2021-08-13 08:21:23.423475,0
2021-08-13 08:21:24.295468,0
2021-08-13 08:21:24.783737,0
2021-08-13 08:21:25.030244,0
2021-08-13 08:21:25.297241,0
2021-08-13 08:21:25.540704,0
2021-08-13 08:21:26.514955,0
2021-08-13 08:21:27.235681,0
2021-08-13 08:21:30.540730,0
2021-08-13 08:21:30.814858,0
2021-08-13 08:21:31.055054,0
2021-08-13 08:21:34.020814,0
2021-08-13 08:21:34.260437,0
2021-08-13 08:21:34.505435,0
2021-08-13 08:21:34.778449,0
2021-08-13 08:21:35.015255,0
2021-08-13 08:21:38.402384,0
2021-08-13 08:21:38.630827,0
2021-08-13 08:21:38.855984,0
2021-08-13 08:21:39.086853,0
2021-08-13 08:21:39.311720,0
2021-08-13 08:21:39.537962,0
2021-08-13 08:23:59.372251,0
2021-08-13 08:23:59.573141,0
2021-08-13 08:23:59.713853,0
2021-08-13 08:23:59.869186,0
2021-08-13 08:24:00.042472,0
2021-08-13 08:24:00.225976,0
2021-08-13 08:24:00.385610,0
2021-08-13 08:24:00.566295,0
2021-08-13 08:24:00.774772,0
2021-08-13 08:24:01.012782,0
2021-08-13 08:24:01.200784,0
2021-08-13 08:24:01.383535,0
2021-08-13 08:24:01.576002,0
2021-08-13 08:24:01.761789,0
2021-08-13 08:24:01.954682,0
2021-08-13 08:24:02.134460,0
2021-08-13 08:24:02.310487,0
2021-08-13 08:24:02.458370,0
2021-08-13 08:24:02.593997,0
2021-08-13 08:24:02.719222,0
2021-08-13 08:24:02.833826,0
2021-08-13 08:24:02.972976,0
2021-08-13 08:24:03.086433,0
2021-08-13 08:24:03.217273,0
2021-08-13 08:24:03.350069,0
2021-08-13 08:24:03.476163,0
2021-08-13 08:24:03.592793,0
2021-08-13 08:24:03.707747,0
2021-08-13 08:24:03.852604,0
2021-08-13 08:24:03.969905,0
2021-08-13 08:24:04.092486,0
2021-08-13 08:24:04.216127,0
2021-08-13 08:24:04.373312,0
2021-08-13 08:24:04.504368,0
2021-08-13 08:24:04.650285,0
2021-08-13 08:24:04.756060,0
2021-08-13 08:24:04.898685,0
2021-08-13 08:24:05.013584,0
